INFO 2025-06-27 16:52:04,028 autoreload 7976 6108 Watching for file changes with StatReloader
INFO 2025-06-27 17:15:41,161 basehttp 5484 11568 "GET /api/guests/ HTTP/1.1" 200 2
INFO 2025-06-27 17:15:41,170 basehttp 5484 6060 "GET /api/users/me/ HTTP/1.1" 200 119
INFO 2025-06-27 17:15:41,171 basehttp 5484 11684 "GET /api/bookings/ HTTP/1.1" 200 2
INFO 2025-06-27 17:15:41,191 views 5484 6060 GuestViewSet.list called by user: test (Супер Админ)
INFO 2025-06-27 17:15:41,192 basehttp 5484 11684 "GET /api/rooms/ HTTP/1.1" 200 2
INFO 2025-06-27 17:15:41,193 basehttp 5484 6060 "GET /api/guests/ HTTP/1.1" 200 2
INFO 2025-06-27 17:18:42,821 basehttp 5484 1548 "POST /api/auth/token/ HTTP/1.1" 200 483
INFO 2025-06-27 17:18:42,828 basehttp 5484 1548 "GET /api/users/me/ HTTP/1.1" 200 119
INFO 2025-06-27 17:18:43,061 basehttp 5484 1548 "GET /api/users/me/ HTTP/1.1" 200 119
INFO 2025-06-27 17:18:43,082 basehttp 5484 6628 "GET /api/bookings/ HTTP/1.1" 200 2
INFO 2025-06-27 17:18:43,082 basehttp 5484 1548 "GET /api/rooms/ HTTP/1.1" 200 2
INFO 2025-06-27 17:18:43,090 basehttp 5484 6628 "GET /api/users/me/ HTTP/1.1" 200 119
INFO 2025-06-27 17:18:43,097 views 5484 6676 GuestViewSet.list called by user: test (Супер Админ)
